adcode,name,Transportation Equipment(Mt CO2),Electronic and Telecommunications Equipment(Mt CO2),Total
110000,Beijing,0.560756911,0.120548789,88.1554368
120000,Tianjin City,0.483760002,0.083517846,158.466482
130000,Hebei Province,0.766332446,0.351237226,914.2091182
140000,Shanxi Province,0.050866593,0.046513419,566.484251
150000,Inner Mongolia Autonomous Region,0.118483252,0.006028613,794.2793749
210000,Liaoning Province,0.715356159,0.025662016,533.3884359
220000,Jilin Province,1.153720771,0.012007996,203.6615613
230000,Heilongjiang Province,0.410871668,0.004946243,278.2113376
310000,Shanghai,1.175820585,0.281927318,192.9121822
320000,Jiangsu Province,1.242189379,0.885268484,804.5942139
330000,Zhejiang Province,0.75557302,0.206019654,381.4072157
340000,Anhui Province,0.375910933,0.16183665,408.0643411
350000,Fujian Province,0.178595954,0.123837802,278.1092921
360000,Jiangxi Province,0.323605059,0.082204135,242.3082565
370000,Shandong Province,3.110132741,0.454945033,937.1169222
410000,Henan Province,0.159742821,0.444883267,460.6308193
420000,Hubei Province,1.000914377,0.014972072,354.7524715
430000,Hunan Province,0.357331464,0.131889126,310.6416665
440000,Guangdong Province,0.594299823,1.159649525,585.8105306
450000,Guangxi Zhuang Autonomous Region,0.378435903,0.005467747,246.716709
460000,Hainan Province,0.015079934,0.001835792,43.06708426
500000,Chongqing City,0.899178937,0.10467901,156.254673
510000,Sichuan Province,1.223699395,0.192140795,315.1633551
520000,Guizhou Province,0.048784446,0.001846275,261.1292353
530000,Yunnan Province,0.027034703,2.85E-05,185.9559201
540000,Tibet Autonomous Region,0,0,0
610000,Shaanxi Province,0.143546641,0.074652952,296.2725402
620000,Gansu Province,0.006752821,0.007140139,164.4884026
630000,Qinghai Province,0.000209921,0,51.75240333
640000,Ningxia Hui Autonomous Region,0.002734879,0.001828372,212.4137836
650000,Xinjiang Uygur Autonomous Region,0.009794694,0.376851988,455.2745744
710000,Taiwan Province,0,0,0
810000,Hong Kong Special Administrative Region,0,0,0
820000,Macau Special Administrative Region,0,0,0
