adcode,name,center,centroid,childrenNum,level,parent,subFeatureIndex,acroutes
110000,Beijing,"39.904989]""","[116.41995,40.18994]",16,province,"{""adcode"":100000}",0,[100000]
120000,Tianjin City,"39.125596]""","[117.347043,39.288036]",16,province,"{""adcode"":100000}",1,[100000]
130000,Hebei Province,"38.045474]""",,11,province,"{""adcode"":100000}",2,[100000]
140000,Shanxi Province,"37.857014]""","[112.304436,37.618179]",11,province,"{""adcode"":100000}",3,[100000]
150000,Inner Mongolia Autonomous Region,"[111.670801,40.818311]","[114.077429,44.331087]",12,province,"{""adcode"":100000}",4,[100000]
210000,Liaoning Province,"41.796767]""","[122.604994,41.299712]",14,province,"{""adcode"":100000}",5,[100000]
220000,Jilin Province,"43.886841]""","[126.171208,43.703954]",9,province,"{""adcode"":100000}",6,[100000]
230000,Heilongjiang Province,"[126.642464,45.756967]","[127.693027,48.040465]",13,province,"{""adcode"":100000}",7,[100000]
310000,Shanghai,"31.231706]""","[121.438737,31.072559]",16,province,"{""adcode"":100000}",8,[100000]
320000,Jiangsu Province,"32.041544]""","[119.486506,32.983991]",13,province,"{""adcode"":100000}",9,[100000]
330000,Zhejiang Province,"30.287459]""","[120.109913,29.181466]",11,province,"{""adcode"":100000}",10,[100000]
340000,Anhui Province,"31.86119]""","[117.226884,31.849254]",16,province,"{""adcode"":100000}",11,[100000]
350000,Fujian Province,"26.075302]""","[118.006468,26.069925]",9,province,"{""adcode"":100000}",12,[100000]
360000,Jiangxi Province,"28.676493]""","[115.732975,27.636112]",11,province,"{""adcode"":100000}",13,[100000]
370000,Shandong Province,"36.675807]""","[118.187759,36.376092]",16,province,"{""adcode"":100000}",14,[100000]
410000,Henan Province,"34.757975]""","[113.619717,33.902648]",18,province,"{""adcode"":100000}",15,[100000]
420000,Hubei Province,"30.584355]""","[112.271301,30.987527]",17,province,"{""adcode"":100000}",16,[100000]
430000,Hunan Province,"28.19409]""","[111.711649,27.629216]",14,province,"{""adcode"":100000}",17,[100000]
440000,Guangdong Province,"23.125178]""","[113.429919,23.334643]",21,province,"{""adcode"":100000}",18,[100000]
450000,Guangxi Zhuang Autonomous Region,"22.82402]""","[108.7944,23.833381]",14,province,"{""adcode"":100000}",19,[100000]
460000,Hainan Province,"20.031971]""","[109.754859,19.189767]",19,province,"{""adcode"":100000}",20,[100000]
500000,Chongqing City,"29.533155]""","[107.8839,30.067297]",38,province,"{""adcode"":100000}",21,[100000]
510000,Sichuan Province,"30.659462]""","[102.693453,30.674545]",21,province,"{""adcode"":100000}",22,[100000]
520000,Guizhou Province,"26.578343]""","[106.880455,26.826368]",9,province,"{""adcode"":100000}",23,[100000]
530000,Yunnan Province,"25.040609]""","[101.485106,25.008643]",16,province,"{""adcode"":100000}",24,[100000]
540000,Tibet Autonomous Region,"29.660361]""","[88.388277,31.56375]",7,province,"{""adcode"":100000}",25,[100000]
610000,Shaanxi Province,"34.263161]""","[108.887114,35.263661]",10,province,"{""adcode"":100000}",26,[100000]
620000,Gansu Province,"36.058039]""",,14,province,"{""adcode"":100000}",27,[100000]
630000,Qinghai Province,"36.623178]""","[96.043533,35.726403]",8,province,"{""adcode"":100000}",28,[100000]
640000,Ningxia Hui Autonomous Region,"38.46637]""","[106.169866,37.291332]",5,province,"{""adcode"":100000}",29,[100000]
650000,Xinjiang Uygur Autonomous Region,"[87.617733,43.792818]","[85.294711,41.371801]",24,province,"{""adcode"":100000}",30,[100000]
710000,Taiwan Province,"25.044332]""","[120.971485,23.749452]",0,province,"{""adcode"":100000}",31,[100000]
810000,Hong Kong Special Administrative Region,"22.320048]""","[114.134357,22.377366]",18,province,"{""adcode"":100000}",32,[100000]
820000,Macau Special Administrative Region,"22.198951]""","[113.566988,22.159307]",8,province,"{""adcode"":100000}",33,[100000]
